State Name,Dist Name,Season,Crops,observed_years,first_year,last_year,active_years,mean_area_1000ha,total_area_1000ha,mean_production_1000t,total_production_1000t,mean_yield_kg_ha,mean_t2m_max,area_share,consistency_score,evidence_score
andhra pradesh,ananthapur,annual,sugarcane,34,1984,2017,34,0.7817647058823529,26.58,5.989411764705883,203.64000000000001,7550.047647058824,42.33117647058823,1.0,1.0,1.0
andhra pradesh,ananthapur,kharif,castor,34,1984,2017,34,5.705,193.97,2.085294117647059,70.9,407.175294117647,31.773921568823532,0.003583453670093366,1.0,0.701075036101028
andhra pradesh,ananthapur,kharif,cotton,34,1984,2017,34,15.805294117647058,537.38,4.015882352941176,136.54,204.5841176470588,31.773921568823532,0.00992770187778921,1.0,0.7029783105633367
andhra pradesh,ananthapur,kharif,finger millet,34,1984,2017,34,7.160882352941177,243.47,13.220882352941176,449.51,1887.6185294117647,31.773921568823532,0.004497929912139155,1.0,0.7013493789736417
andhra pradesh,ananthapur,kharif,groundnut,34,1984,2017,34,693.5591176470589,23581.010000000002,445.89058823529416,15160.28,642.7635294117647,31.773921568823532,0.43564188703927603,1.0,0.8306925661117828
andhra pradesh,ananthapur,kharif,kharif sorghum,34,1984,2017,34,13.17764705882353,448.04,12.245588235294118,416.35,1117.3111764705882,31.773921568823532,0.008277210817902933,1.0,0.7024831632453709
andhra pradesh,ananthapur,kharif,maize,34,1984,2017,34,8.736470588235294,297.04,33.55794117647059,1140.97,3224.2291176470585,31.773921568823532,0.005487596422975375,1.0,0.7016462789268926
andhra pradesh,ananthapur,kharif,minor pulses,34,1984,2017,34,12.215,415.31,3.7741176470588234,128.32,376.3694117647059,31.773921568823532,0.007672548042101747,1.0,0.7023017644126305
andhra pradesh,ananthapur,kharif,oilseeds,34,1984,2017,34,714.4302941176471,24290.63,465.3370588235294,15821.46,717.529705882353,31.773921568823532,0.4487515967540343,1.0,0.8346254790262102
andhra pradesh,ananthapur,kharif,pearl millet,34,1984,2017,34,6.352352941176471,215.98000000000002,3.782058823529412,128.59,748.9008823529412,31.773921568823532,0.003990072298122211,1.0,0.7011970216894367
andhra pradesh,ananthapur,kharif,pigeonpea,34,1984,2017,34,34.08558823529412,1158.91,7.2238235294117645,245.60999999999999,219.19382352941176,31.773921568823532,0.021410013367056262,1.0,0.7064230040101168
andhra pradesh,ananthapur,kharif,rice,34,1984,2017,34,46.60264705882353,1584.49,115.06029411764706,3912.05,2472.711764705882,31.773921568823532,0.029272292136548115,1.0,0.7087816876409644
andhra pradesh,ananthapur,kharif,sesamum,12,1984,2017,12,0.3866666666666667,4.640000000000001,0.07416666666666667,0.89,164.6225,31.809705883333333,0.00024287503694468625,0.35294117647058826,0.24713168604049518
andhra pradesh,ananthapur,kharif,sorghum,34,1984,2017,34,33.11176470588235,1125.8,29.209705882352942,993.13,877.5376470588235,31.773921568823532,0.020798330369598966,1.0,0.7062394991108797
andhra pradesh,ananthapur,kharif,soyabean,12,2005,2017,12,0.7108333333333333,8.53,1.0225,12.27,1160.1924999999999,31.5427450975,0.0004464922554177098,0.35294117647058826,0.24719277120603708
andhra pradesh,ananthapur,rabi,chickpea,34,1984,2017,34,41.16823529411765,1399.72,28.50264705882353,969.09,608.1282352941176,32.947801782058825,0.43680639402358246,1.0,0.8310419182070747
andhra pradesh,ananthapur,rabi,linseed,18,1987,2013,18,0.031111111111111114,0.56,0.003333333333333333,0.06,132.9361111111111,32.88468985944444,0.0003300975172101488,0.5294117647058824,0.37068726454928064
andhra pradesh,ananthapur,rabi,rabi sorghum,34,1984,2017,34,19.93441176470588,677.77,16.963823529411766,576.77,787.2126470588236,32.947801782058825,0.21150963741131332,1.0,0.763452891223394
andhra pradesh,ananthapur,rabi,rapeseed and mustard,6,1987,2009,6,0.03,0.18,0.0,0.0,0.0,33.24002236333333,0.00031830832016692916,0.17647058823529413,0.12362490426075597
andhra pradesh,ananthapur,rabi,safflower,30,1984,2016,30,1.9053333333333335,57.160000000000004,0.427,12.81,332.901,32.907832637666665,0.02021611508971297,0.8823529411764706,0.6237118933504432
andhra pradesh,ananthapur,rabi,sunflower,32,1986,2017,32,30.853437500000002,987.3100000000001,17.3640625,555.65,612.87375,32.881272914375,0.3273635287333446,0.9411764705882353,0.7570325880317681
andhra pradesh,ananthapur,rabi,wheat,28,1984,2017,28,0.3257142857142857,9.12,0.3182142857142857,8.91,623.6814285714285,32.966277885714284,0.003455918904669516,0.8235294117647058,0.5775073639066949
andhra pradesh,chittoor,annual,sugarcane,34,1984,2017,34,35.637352941176474,1211.67,238.51529411764707,8109.52,7264.9976470588235,43.69088235294117,1.0,1.0,1.0
andhra pradesh,chittoor,kharif,castor,27,1984,2017,27,0.29518518518518516,7.97,0.11296296296296297,3.0500000000000003,403.7714814814815,33.261086902962965,0.0005358108561411984,0.7941176470588235,0.5560430961980187
andhra pradesh,chittoor,kharif,cotton,11,2000,2017,11,0.44636363636363635,4.91,0.14636363636363636,1.6099999999999999,289.9463636363636,33.342745097272726,0.0008102252218391544,0.3235294117647059,0.22671365580184585
andhra pradesh,chittoor,kharif,finger millet,34,1984,2017,34,13.536176470588236,460.23,13.960882352941177,474.67,1047.1905882352942,33.23594002235294,0.024570441429959115,1.0,0.7073711324289876
andhra pradesh,chittoor,kharif,groundnut,34,1984,2017,34,208.59882352941176,7092.36,225.705,7673.97,1073.7758823529412,33.23594002235294,0.37864201807831915,1.0,0.8135926054234957
andhra pradesh,chittoor,kharif,kharif sorghum,34,1984,2017,34,3.7279411764705883,126.75,3.3182352941176467,112.82,861.135,33.23594002235294,0.006766841473279268,1.0,0.7020300524419837
andhra pradesh,chittoor,kharif,maize,30,1984,2017,30,1.1023333333333334,33.07,5.1080000000000005,153.24,3655.936666666667,33.30652287466667,0.00200092076679178,0.8823529411764706,0.6182473350535669
andhra pradesh,chittoor,kharif,minor pulses,34,1984,2017,34,11.778235294117646,400.46,5.062352941176471,172.12,408.0094117647059,33.23594002235294,0.021379481943900713,1.0,0.7064138445831701
andhra pradesh,chittoor,kharif,oilseeds,34,1984,2017,34,219.23764705882354,7454.08,227.24117647058824,7726.2,1034.7435294117647,33.23594002235294,0.3979532756539766,1.0,0.8193859826961929
andhra pradesh,chittoor,kharif,pearl millet,34,1984,2017,34,4.319117647058824,146.85,5.3870588235294115,183.16,1478.6129411764705,33.23594002235294,0.007839926393302252,1.0,0.7023519779179906
andhra pradesh,chittoor,kharif,pigeonpea,34,1984,2017,34,7.1499999999999995,243.1,1.3520588235294118,45.97,190.05911764705883,33.23594002235294,0.012978454928238185,1.0,0.7038935364784714
andhra pradesh,chittoor,kharif,rice,34,1984,2017,34,75.91205882352942,2581.01,194.55470588235292,6614.86,2645.4694117647055,33.23594002235294,0.13779317957355838,1.0,0.7413379538720675
andhra pradesh,chittoor,kharif,sesamum,33,1984,2017,33,0.8912121212121212,29.41,0.22909090909090907,7.56,286.7327272727273,33.252115269696965,0.0016177001883428059,0.9705882352941176,0.6798970747623851
andhra pradesh,chittoor,kharif,sorghum,34,1984,2017,34,3.9079411764705885,132.87,3.48,118.32,861.4441176470588,33.23594002235294,0.007093571807137013,1.0,0.7021280715421411
andhra pradesh,chittoor,kharif,soyabean,2,2012,2013,2,0.01,0.02,0.02,0.04,2000.0,33.220424835,1.8151685214319143e-05,0.058823529411764705,0.04118191609379959
andhra pradesh,chittoor,rabi,chickpea,8,2000,2014,8,0.0175,0.14,0.0175,0.14,958.33375,31.487833576249997,0.004972061158191773,0.23529411764705882,0.1661975007003987
andhra pradesh,chittoor,rabi,linseed,19,1990,2017,19,0.01842105263157895,0.35000000000000003,0.002631578947368421,0.05,140.35052631578947,31.304101029999998,0.0052337485875702874,0.5588235294117647,0.3927465951645064
andhra pradesh,chittoor,rabi,rabi sorghum,18,1984,2017,18,0.34055555555555556,6.13,0.3061111111111111,5.51,1073.1477777777777,31.45617559388889,0.0967578885705256,0.5294117647058824,0.3996156018652753
andhra pradesh,chittoor,rabi,rapeseed and mustard,3,1992,2010,3,0.6433333333333333,1.93,0.14333333333333334,0.43,735.0866666666667,30.98651664333333,0.1827824387678118,0.08823529411764706,0.11659943751269648
andhra pradesh,chittoor,rabi,safflower,4,1991,2007,4,0.4725,1.89,0.135,0.54,38.565,31.375450395,0.13424565127117785,0.11764705882352941,0.12262663655782394
andhra pradesh,chittoor,rabi,sunflower,28,1990,2017,28,2.015357142857143,56.43,1.4685714285714284,41.12,765.965,31.13609178107143,0.5725987982791055,0.8235294117647058,0.7482502277190257
andhra pradesh,chittoor,rabi,wheat,5,1990,2003,5,0.012,0.060000000000000005,0.004,0.02,300.0,31.441588881999998,0.0034094133656172153,0.14705882352941177,0.10396400048027339
andhra pradesh,east godavari,annual,sugarcane,34,1984,2017,34,17.899411764705885,608.58,119.90941176470588,4076.92,7186.822352941176,38.47705882352941,1.0,1.0,1.0
